ID,Square_Feet,Num_Bedrooms,Num_Bathrooms,Num_Floors,Year_Built,Has_Garden,Has_Pool,Garage_Size,Location_Score,Distance_to_Center,Price
1,143.63502971184062,1.0,3.0,3.0,1967.0,1.0,1.0,48.0,8.297631202876449,5.935733640397012,602134.816746586
2,287.67857660247904,1.0,2.0,1.0,1949.0,0.0,1.0,37.0,6.061465649334798,10.827392203145374,591425.1353862194
3,232.99848545285127,1.0,3.0,2.0,1923.0,1.0,0.0,14.0,2.9114424778517902,6.904599073399449,464478.6968798775
4,199.66462104925915,5.0,2.0,2.0,1918.0,0.0,0.0,17.0,2.0709491817657124,8.284018511436607,583105.655996478
5,89.00466011060914,4.0,3.0,3.0,1999.0,1.0,0.0,34.0,1.523277856626788,14.648277296253372,619879.1425227895
6,88.99863008405066,5.0,3.0,2.0,1959.0,1.0,1.0,36.0,8.994552125461016,17.633249646654253,670386.8044330856
7,64.52090304204987,4.0,3.0,1.0,1938.0,0.0,1.0,32.0,7.101354317980658,2.4299078217553083,523827.1256006135
8,266.54403644373383,5.0,1.0,3.0,1973.0,1.0,1.0,39.0,9.373784381643208,12.69278512974761,875352.5451883507
9,200.2787529358022,5.0,1.0,1.0,1988.0,,1.0,32.0,6.032918057149431,11.64287615155597,738269.852342477
10,,3.0,2.0,1.0,1917.0,0.0,0.0,29.0,4.734008814949125,2.3683007835186376,490552.681240454
11,55.14612357395061,5.0,2.0,2.0,1918.0,1.0,0.0,27.0,0.5971648897088933,4.237886608802182,488942.13124439935
12,292.4774630404986,2.0,1.0,3.0,1935.0,1.0,1.0,27.0,6.716422815460298,6.220049894653606,677623.4667819565
13,258.11066020010543,3.0,2.0,3.0,1973.0,1.0,,11.0,5.822087597682311,3.3386214163500294,685123.5340514993
14,103.08477766956904,5.0,1.0,2.0,1996.0,0.0,1.0,13.0,9.902088935876217,,658652.7892522971
15,95.45624180177516,1.0,3.0,1.0,1954.0,0.0,1.0,,2.3915877778224304,5.35201597723415,413729.0743278516
16,95.85112746335844,2.0,2.0,1.0,2013.0,1.0,0.0,42.0,5.307373552868358,6.713476660781192,523527.9746775357
17,126.06056073988444,2.0,2.0,1.0,,0.0,1.0,45.0,6.509573351180727,14.98780905602318,527769.8130275381
18,181.18910790805947,2.0,1.0,1.0,1946.0,1.0,1.0,27.0,6.445911747423436,11.438244077012014,514260.9950437056
19,157.98625466052894,3.0,2.0,3.0,1948.0,1.0,0.0,46.0,5.612935429484027,19.724933439028028,581392.9358432371
20,122.80728504951048,5.0,2.0,3.0,1998.0,1.0,1.0,28.0,7.769280103272255,8.29471653934942,750687.6198562378
21,202.9632236805949,5.0,3.0,2.0,2007.0,1.0,1.0,37.0,2.049812095268164,15.0773014767385,832883.8728118391
22,84.87346516301045,1.0,2.0,2.0,1997.0,1.0,,49.0,7.256272002744159,17.429368427530676,479876.364638616
23,123.03616213380454,1.0,3.0,3.0,1932.0,0.0,1.0,29.0,,13.579569860760838,437751.6430154121
24,141.59046082342292,2.0,1.0,3.0,2018.0,1.0,0.0,42.0,8.960751117945733,8.237294808349919,629162.3560146224
